,city,lat,lon
0,Toronto,43.6534817,-79.3839347
1,Montreal,45.5031824,-73.5698065
2,Ottawa,45.4208777,-75.6901106
3,Mississauga,43.5896231,-79.6443879
4,Brampton,43.685832,-79.7599366
5,Hamilton,43.2560802,-79.8728583
6,Quebec City,46.8137431,-71.2084061
7,Laval,45.60558895,-73.73456014508847
8,London,42.9832406,-81.243372
9,Markham,43.8563707,-79.3376825
10,Vaughan,43.7941544,-79.5268023
11,Kitchener,43.451291,-80.4927815
12,Windsor,42.2858536,-82.9780695
13,Oakville,43.447436,-79.666672
14,Richmond Hill,43.8801166,-79.4392925
15,Burlington,43.3248924,-79.7966835
